Tarefa,Responsável,Data Início,Data Fim,Status,Prioridade,Observações
Definição do Projeto,Equipe Completa,08-11-25,08-18-25,Concluído,Alta,Projeto Gotas de Esperança definido
Análise de Requisitos,Vinicius (PM),08-11-25,08-24-25,Em Andamento,Alta,Coleta de requisitos funcionais e não funcionais
Design da Interface,Eduardo (QA/PO),08-11-25,08-24-25,Pendente,Média,Wireframes e protótipos
Início dos Trabalhos,Equipe Completa,08-11-25,08-24-25,Pendente,Alta,Início oficial da primeira sprint
Desenvolvimento Sprint 1,Filipe e Robson,08-11-25,08-24-25,Pendente,Alta,Implementação das funcionalidades básicas
Testes Sprint 1,Eduardo (QA/PO),08-21-25,08-24-25,Pendente,Alta,Testes de funcionalidade e usabilidade
Entrega Sprint 1,Equipe Completa,08-25-25,08-25-25,Pendente,Alta,Apresentação para o professor
Desenvolvimento Sprint 2,,,,Pendente,,Funcionalidades avançadas
Testes Sprint 2,,,,Pendente,,Testes de integração
Apresentação Sprint 2,,,,Pendente,,Apresentação final
Documentação Final,,,,Pendente,,README e documentação completa

